sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	fulfillment-channel	leadtime-to-ship
2079	34,94			2		
2748	150,98			30		
3574	98,99			6		
4237	70,01			2		
4241	15,85			3		
4242	21,61			5		
4243	10,38			1		
4244	11,42			8		
4245	9,96			25		
4246	13,89			7		
4248	12,49			6		
4493	91,90			5		
4550	39,14			20		
4551	34,94			23		
4552	36,34			3		
4579	210,31			2		
4660	108,54			3		
4662	25,11			2		
4663	43,35			5		
4722	438,90			4		
4764	33,53			15		
4775	116,31			16		
4783	70,01			7		
4784	13,61			6		
4785	74,22			7		
4786	74,22			5		
4787	131,74			9		
4790	14,59			13		
4792	23,15			9		
4899	182,25			2		
4905	48,76			3		
4910	51,91			5		
4945	99,47			14		
4957	82,90			33		
5027	7,70			8		
5044	55,98			2		
5045	26,52			27		
5103	65,80			14		
5163	20,91			7		
5164	31,55			8		
5200	217,77			0		
5215	168,22			2		
5287	140,16			3		
5290	54,72			1		
5291	19,85			4		
5292	28,20			6		
5389	53,17			2		
5390	31,57			11		
5441	92,60			3		
5450	280,60			3		
5461	103,12			5		
5464	279,20			0		
5475	6,88			28		
5476	8,28			22		
5483	75,76			15		
5534	51,77			4		
5535	237,11			4		
5545	63,14			4		
5560	75,62			2		
5568	80,67			2		
5569	51,91			96		
5570	27,92			6		
5588	182,25			2		
5648	134,51			2		
5667	10,59			4		
5669	83,27			3		
5670	35,08			2		
5671	43,49			3		
5677	53,31			1		
5693	94,00			4		
5694	63,14			8		
5695	63,14			10		
5713	279,20			1		
5722	53,31			5		
5733	33,53			7		
5806	101,72			1		
5816	166,82			1		
5868	37,88			3		
5869	37,18			5		
5978	203,44			1		
5994	221,92			8		
6027	89,79			6		
6044	175,38			1		
6085	126,13			2		
6266	155,04			10		
6269	539,00			1		
6286	95,40			2		
6376	226,16			3		
6392	490,91			3		
6398	129,08			1		
6410	29,09			14		
6417	109,25			13		
6418	363,38			1		
6419	245,53			2		
6420	321,29			1		
6424	347,23			2		
6430	111,91			1		
6432	24,46			2		
6438	238,51			4		
6462	61,73			9		
6467	170,68			19		
6474	398,31			2		
6501	429,32			4		
6502	385,83			3		
6531	490,97			1		
6532	614,01			1		
6533	675,55			1		
6537	307,26			19		
6538	498,07			7		
6546	286,35			3		
6553	209,05			1		
6555	94,17			1		
6562	19,36			20		
6578	839,78			1		
6604	308,65			2		
6607	701,50			1		
6608	701,50			1		
6616	182,88			3		
6617	136,86			10		
6628	41,95			2		
6629	74,22			5		
